Metodo,Amostra,Ocorrencias,Tempo(ms)
SerialCPU,DonQuixote-388208.txt,1,181
ParallelCPU,DonQuixote-388208.txt,1,87
ParallelGPU,DonQuixote-388208.txt,1,499
SerialCPU,Dracula-165307.txt,66,69
ParallelCPU,Dracula-165307.txt,66,22
ParallelGPU,Dracula-165307.txt,66,111
SerialCPU,MobyDick-217452.txt,77,46
ParallelCPU,MobyDick-217452.txt,77,24
ParallelGPU,MobyDick-217452.txt,77,125
